,run_date,case_number,merchant_customer_id,account_name,astro_mkp,type_of_request,status,create_date,listing_complete_date,owner,integration_start_date,status_notes,handoff_date,merchant_rank,case_rank,encrypt_id,Key,SPOC
0,2022-12-30,1361699,69987108412.0,eCommeleon,DE,Technical Onboarding Request - New Seller,Completed,2022-10-07,2022-12-12,LAKSHMI PRATYUSHA VELAMAKANNI,2022-10-07,DSR,2022-10-07,1,1,A2KY7Y0YOQRSHP,A2KY7Y0YOQRSHPLAKSHMI PRATYUSHA VELAMAKANNI,
1,2022-12-30,1342945,34200132012.0,E-SS Shopping,DE,Technical Onboarding Request - New Seller,Completed,2022-08-03,2022-10-07,NIVEDITHA PARVATHA,2022-07-07,3PD case,2022-07-07,1,1,APLOW5UUA1HKX,APLOW5UUA1HKXNIVEDITHA PARVATHA,NIVEDITHA PARVATHA
2,2022-12-30,1114302,10633392825.0,PayJoe,DE,Technical Onboarding Request - New Seller,Completed,2021-09-06,2022-04-12,PRAKASH JHA,2021-09-06,3PD_INTEGRATOR_CID:AI6ACCAX77PSG,2021-07-01,1,1,AI6ACCAX77PSG,AI6ACCAX77PSGPRAKASH JHA,
4,2022-12-30,1349625,18018266925.0,boardfy,ES,Technical Onboarding Request - New Seller,Completed,2022-08-26,2022-10-21,PREMALATHA MADDIRALA,2022-08-26,3PD_INTEGRATOR,2022-08-26,1,1,A364S1T0UYKAXD,A364S1T0UYKAXDPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
5,2022-12-30,1312971,70714258522.0,Love to Dream,AU,Technical Onboarding Request - New Seller,Completed,2022-04-20,2022-08-02,FARAH BHAGAT,2022-04-27,AU-DSR,2022-04-21,1,1,A105KJNNFT7U62,A105KJNNFT7U62FARAH BHAGAT,FARAH BHAGAT
6,2022-12-30,1342632,21355045412.0,Glew UK,UK,Technical Onboarding Request - New Seller,Completed,2022-08-02,2022-09-30,LAKSHMI PRATYUSHA VELAMAKANNI,2022-07-15,3PD_INTEGRATOR CID: AZ30V6GD3MG6N,2022-07-15,1,1,A24D9IKCZV9WKB,A24D9IKCZV9WKBLAKSHMI PRATYUSHA VELAMAKANNI,
7,2022-12-30,1363428,23857059912.0,ThinkInBeauty,ES,Technical Onboarding Request - New Seller,Completed,2022-10-13,2022-10-13,NIVEDITHA PARVATHA,2022-06-23,DSR case,2022-05-13,1,1,A1SOTMQHUPBHQ,A1SOTMQHUPBHQNIVEDITHA PARVATHA,
8,2022-12-30,1354715,816841412.0,Speed4Trade GmbH,DE,Technical Onboarding Request - New Seller,Completed,2022-09-13,2022-11-22,PREMALATHA MADDIRALA,2022-09-13,3PD_INTEGRATOR,2022-09-13,1,1,A1BL9XM5P9CDH0,A1BL9XM5P9CDH0PREMALATHA MADDIRALA,PREMALATHA MADDIRALA
9,2022-12-30,1325299,9473521225.0,Mobile and you,FR,Technical Onboarding Request - New Seller,Completed,2022-06-01,2022-09-09,FARAH BHAGAT,2022-06-22,DSR,2022-06-03,1,1,A16Z75QW75Q4DX,A16Z75QW75Q4DXFARAH BHAGAT,
10,2022-12-30,1310966,62405895712.0,ClubApparel,AE,Technical Onboarding Request - New Seller,Completed,2022-04-14,2022-11-03,FARAH BHAGAT,2022-05-20,AE-DSR,2022-04-20,1,1,AWYEV4Q0SFGUA,AWYEV4Q0SFGUAFARAH BHAGAT,FARAH BHAGAT
11,2022-12-30,1306264,7773313622.0,The Danny's,AU,Technical Onboarding Request - New Seller,Completed,2022-03-29,2022-05-16,FARAH BHAGAT,2022-01-20,SMART_CONNECT_AU,2022-01-20,1,1,A9K2P76IQRHDU,A9K2P76IQRHDUFARAH BHAGAT,
12,2022-12-30,1115824,4702979422.0,Computer Alliance Pty Ltd,AU,Technical Onboarding Request - New Seller,Completed,2021-09-14,2022-03-22,PREMALATHA MADDIRALA,2021-12-23,SMART_CONNECT_AU,2021-09-15,1,1,A38AJVY8K206M7,A38AJVY8K206M7PREMALATHA MADDIRALA,PREMALATHA MADDIRALA
13,2022-12-30,1315311,13654744125.0,GreenCellPro,PL,Technical Onboarding Request - Reintegration,Completed,2022-04-29,2022-09-22,LAKSHMI PRATYUSHA VELAMAKANNI,2022-05-13,PL_Integrator,2022-05-02,1,1,A154VOJZMH9IIB,A154VOJZMH9IIBLAKSHMI PRATYUSHA VELAMAKANNI,
14,2022-12-30,1279324,259159414112.0,M5AZN,SA,Technical Onboarding Request - New Seller,Completed,2022-03-02,2022-09-20,YASHWANT KOMATI,2022-07-30,DSR,2022-07-31,1,1,A3BLXRBPJF71JU,A3BLXRBPJF71JUYASHWANT KOMATI,
15,2022-12-30,1314227,19661334225.0,Weip,ES,Technical Onboarding Request - Reintegration,Completed,2022-04-26,2022-07-22,DILIP CHAVALI,2022-05-04,DSR,2022-04-27,1,1,A2NX936EFYV9VT,A2NX936EFYV9VTDILIP CHAVALI,DILIP CHAVALI
16,2022-12-30,1386884,792162761.0,FilmAmora,UK,Technical Onboarding Request - New Seller,Completed,2022-12-22,2022-12-15,YASHWANT KOMATI,2022-09-01,3PD_INTEGRATOR,2022-09-01,1,1,A1M2Q6YG132EYQ,A1M2Q6YG132EYQYASHWANT KOMATI,YASHWANT KOMATI
18,2022-12-30,1306735,377388715002.0,CABLEPELADO EEUU,US,Technical Onboarding Request - New Seller,Completed,2022-03-30,2022-06-28,PREMALATHA MADDIRALA,2022-04-04,DSR_MCID: A9DEKVHK1XMRT,2022-03-30,1,1,A31US4O2F26DPQ,A31US4O2F26DPQPREMALATHA MADDIRALA,PREMALATHA MADDIRALA
19,2022-12-30,1335197,286196268912.0,Daniks GmbH,US,Technical Onboarding Request - New Seller,Completed,2022-07-06,2022-07-15,YASHWANT KOMATI,2022-07-09,DSR,2022-07-09,1,1,A2KSB15A7GCS21,A2KSB15A7GCS21YASHWANT KOMATI,
20,2022-12-30,1324292,8447607535.0,Vendiro,DE,Technical Onboarding Request - New Seller,Completed,2022-05-30,2022-10-06,PREMALATHA MADDIRALA,2022-05-31,DSR_INTEGRATOR_NL-MCID-A350U7048YVI5X,2022-05-30,1,1,A1C4SIY0SGEHJ7,A1C4SIY0SGEHJ7PREMALATHA MADDIRALA,
21,2022-12-30,1279322,162204860212.0,PILLAR4,DE,Technical Onboarding Request - New Seller,Completed,2022-03-02,2022-07-26,INDRA TATIKONDA,2022-03-19,DSR,2022-03-19,1,1,A3MOOMV1STQOBQ,A3MOOMV1STQOBQINDRA TATIKONDA,
22,2022-12-30,1341058,17136347805.0,Crescodata,AU,Technical Onboarding Request - New Seller,Completed,2022-07-28,2022-09-15,FARAH BHAGAT,2022-07-28,3PD_INTEGRATION,2022-07-28,1,1,A38VJZCC4Z37EQ,A38VJZCC4Z37EQFARAH BHAGAT,
23,2022-12-30,1329538,20257016712.0,"Aura Home, Inc",UK,Technical Onboarding Request - New Seller,Completed,2022-06-16,2022-09-23,RAJARSHI CHATTERJEE,2022-06-17,DSR,2022-06-17,2,1,ALI4BNPFL5ISN,ALI4BNPFL5ISNRAJARSHI CHATTERJEE,
24,2022-12-30,1130610,163166811412.0,SMEUP,IT,Technical Onboarding Request - Reintegration,Completed,2021-11-25,2022-10-14,NIVEDITHA PARVATHA,2021-11-30,DSR_integrator,2021-11-26,1,1,A27TEU3YOJIMIL,A27TEU3YOJIMILNIVEDITHA PARVATHA,NIVEDITHA PARVATHA
25,2022-12-30,1352673,4822035122.0,BookFrenzy,AU,Technical Onboarding Request - Reintegration,Completed,2022-09-06,2022-11-08,LIPSA MOHANTY,2022-09-06,DSR,2022-09-06,1,1,A3E5WJW80X366V,A3E5WJW80X366VLIPSA MOHANTY,
26,2022-12-30,1309452,14811309112.0,Calledelregalo,ES,Technical Onboarding Request - New Seller,Completed,2022-04-08,2022-06-24,NIVEDITHA PARVATHA,2021-11-24,Paid case,2021-11-24,1,1,A3K14MTMXFDD1H,A3K14MTMXFDD1HNIVEDITHA PARVATHA,
27,2022-12-30,1348745,296631550012.0,Daewoo España,ES,Technical Onboarding Request - New Seller,Completed,2022-08-24,2022-12-26,PRAKASH JHA,2022-09-16,DSR,2022-08-30,1,1,A169KTRO88KTAZ,A169KTRO88KTAZPRAKASH JHA,
28,2022-12-30,1309291,285200399512.0,Ultralight Outdoor Gear,UK,Technical Onboarding Request - New Seller,Completed,2022-04-07,2022-06-25,YASHWANT KOMATI,2022-04-24,DSR,2022-04-12,1,1,AU6BORF8SRXG7,AU6BORF8SRXG7YASHWANT KOMATI,YASHWANT KOMATI
