,Start_Date,End_date,Specalist_Name,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Rating of the overall Support,Ability to communicate clearly,Knowledge of SP-API products & Services,Merchant_Token,Comments,LocationLatitude,LocationLongitude,LocationAccuracy,SPOC,Key,Average CSAT,region
2,10/11/2021 10:02,10/11/2021 10:05,,,,,1,0,4- Good,5,3,A11OKMLEOWRUTY,,59.89830017,30.26179504,-1,DILIP CHAVALI,A11OKMLEOWRUTYDILIP CHAVALI,4,#N/A
3,11/18/2021 14:08,11/18/2021 14:12,,,,,1,0,5- Excellent,5,5,A1Y1NMNJFO9AZH,,39.04690552,-77.49030304,-1,DILIP CHAVALI,A1Y1NMNJFO9AZHDILIP CHAVALI,5,#N/A
4,11/24/2021 11:46,11/24/2021 11:56,,,,,1,0,5- Excellent,5,5,A2WJJHFR3EZX13,Dilip has been very helpful and approachable throughout the process. It was great working with him :),19.07479858,72.88560486,-1,DILIP CHAVALI,A2WJJHFR3EZX13DILIP CHAVALI,5,#N/A
5,11/24/2021 17:05,11/24/2021 17:09,,,,,1,0,4- Good,5,5,A39JLZTLGJEAS9,,41.89039612,12.51260376,-1,DILIP CHAVALI,A39JLZTLGJEAS9DILIP CHAVALI,5,#N/A
6,11/25/2021 8:19,11/25/2021 8:21,,,,,1,0,4- Good,5,4,lenish@dynamicsstream.com,"Still, our project work is going on. We should be able to complete our work by 15th Dec with all your support.",25.26330566,55.30870056,-1,DILIP CHAVALI,lenish@dynamicsstream.comDILIP CHAVALI,4.5,#N/A
7,11/26/2021 5:21,11/26/2021 5:22,,,,,1,0,5- Excellent,5,5,A28N4V20CCJTUW,,51.66740417,-0.38470459,-1,DILIP CHAVALI,A28N4V20CCJTUWDILIP CHAVALI,5,#N/A
8,12/2/2021 14:14,12/2/2021 14:18,,,,,1,0,5- Excellent,5,5,1.03186E+11,,45.65339661,0.151397705,-1,DILIP CHAVALI,103186050112DILIP CHAVALI,5,#N/A
9,12/3/2021 16:47,12/3/2021 16:49,,,,,1,0,5- Excellent,5,5,A36Q191771JCLI,,50.11880493,8.684295654,-1,DILIP CHAVALI,A36Q191771JCLIDILIP CHAVALI,5,#N/A
10,12/9/2021 7:33,12/9/2021 7:34,,,,,1,0,5- Excellent,5,4,A1R3V77HEFQ2PP,,33.60539246,73.03540039,-1,DILIP CHAVALI,A1R3V77HEFQ2PPDILIP CHAVALI,4.5,#N/A
11,12/10/2021 11:28,12/10/2021 11:29,,,,,1,0,5- Excellent,5,5,A2DKZN1W9ZO5KL,,51.6427002,4.596099854,-1,DILIP CHAVALI,A2DKZN1W9ZO5KLDILIP CHAVALI,5,#N/A
12,12/14/2021 14:43,12/14/2021 14:47,,,,,1,0,5- Excellent,5,5,26398415612,It was great to work with Dilip and the team to help us in the migration to SP API,51.44830322,-0.138305664,-1,DILIP CHAVALI,26398415612DILIP CHAVALI,5,#N/A
13,12/15/2021 9:42,12/15/2021 9:42,,,,,1,0,5- Excellent,5,4,,,32.08210754,34.81219482,-1,DILIP CHAVALI,,4.5,#N/A
14,12/15/2021 13:56,12/15/2021 14:31,,,,,1,0,4- Good,4,4,A3SRNZA3D3E4HZ,Very professional and to the point communication,49.96749878,20.42939758,-1,DILIP CHAVALI,A3SRNZA3D3E4HZDILIP CHAVALI,4,#N/A
15,12/16/2021 9:20,12/16/2021 9:21,,,,,1,0,4- Good,5,5,AXHV036QE1T12,Very good,50.11880493,8.684295654,-1,DILIP CHAVALI,AXHV036QE1T12DILIP CHAVALI,5,#N/A
16,12/16/2021 10:12,12/16/2021 10:13,,,,,1,0,5- Excellent,5,5,1115005042,,50.11880493,8.684295654,-1,DILIP CHAVALI,1115005042DILIP CHAVALI,5,#N/A
17,12/16/2021 10:45,12/16/2021 10:46,,,,,1,0,5- Excellent,5,5,A2I58XB5EF2Z0N,,45.47219849,9.192199707,-1,DILIP CHAVALI,A2I58XB5EF2Z0NDILIP CHAVALI,5,#N/A
18,12/16/2021 11:25,12/16/2021 11:25,,,,,1,0,5- Excellent,5,5,1.36954E+11,Amazing Support :-),47.08050537,8.335006714,-1,DILIP CHAVALI,136953530012DILIP CHAVALI,5,#N/A
19,12/16/2021 11:57,12/16/2021 11:59,,,,,1,0,5- Excellent,5,5,17981557415,Good service,32.06660461,34.76519775,-1,DILIP CHAVALI,17981557415DILIP CHAVALI,5,#N/A
20,12/21/2021 8:20,12/21/2021 8:23,,,,,1,0,3 -Fair,4,3,2.14329E+11,,41.64050293,-0.881393433,-1,DILIP CHAVALI,214329432712DILIP CHAVALI,3.5,#N/A
21,12/21/2021 8:42,12/21/2021 8:43,,,,,1,0,4- Good,4,4,2.14329E+11,,41.64050293,-0.881393433,-1,DILIP CHAVALI,214329432712DILIP CHAVALI,4,#N/A
22,12/22/2021 10:16,12/22/2021 10:24,,,,,1,0,4- Good,5,5,14880356925,"It would be great to get feedback on API problems discovered by our team: https://docs.google.com/document/d/1TweDrTu2N7mbNE1c1EqJn-ali3AGqduANINagrw0skM/edit#\\Overall, it seems many problems in the old API, especially reports, are still present in new SP-API and it would be good if Amazon team tried to fix them.",59.89830017,30.26179504,-1,DILIP CHAVALI,14880356925DILIP CHAVALI,5,#N/A
23,12/22/2021 11:37,12/22/2021 11:41,,,,,1,0,5- Excellent,5,5,2.10183E+11,NO,40.65010071,-8.65020752,-1,DILIP CHAVALI,210182823412DILIP CHAVALI,5,#N/A
24,12/24/2021 12:18,12/24/2021 12:19,,,,,1,0,5- Excellent,5,5,16884368325,"We've found Dilip to be really helpful, and proactive. He's a credit to your team.\\Thanks,\\Brian",52.96479797,-1.213195801,-1,DILIP CHAVALI,16884368325DILIP CHAVALI,5,#N/A
25,12/27/2021 8:58,12/27/2021 9:00,,,,,1,0,5- Excellent,5,5,1190255152,,50.11880493,8.684295654,-1,DILIP CHAVALI,1190255152DILIP CHAVALI,5,#N/A
26,12/27/2021 14:04,12/27/2021 14:05,,,,,1,0,5- Excellent,5,5,5478563112,,51.87860107,4.487792969,-1,DILIP CHAVALI,5478563112DILIP CHAVALI,5,#N/A
27,12/28/2021 3:17,12/28/2021 3:24,,,,,1,0,4- Good,4,4,14717840925,"Really love how Amazon offers a point-of-contact for the new SP-API that will help us to sort out the issues while the migration, appreciated it!",-7.248397827,112.7419128,-1,DILIP CHAVALI,14717840925DILIP CHAVALI,4,#N/A
28,1/3/2022 11:55,1/3/2022 14:46,,,,,1,0,5- Excellent,4,4,23208942712,,50.11880493,8.684295654,-1,DILIP CHAVALI,23208942712DILIP CHAVALI,4,#N/A
29,1/4/2022 10:42,1/4/2022 10:42,,,,,1,0,5- Excellent,5,5,AAGL73H4BV8FV,,50.11880493,8.684295654,-1,DILIP CHAVALI,AAGL73H4BV8FVDILIP CHAVALI,5,#N/A
30,1/5/2022 10:29,1/5/2022 10:30,,,,,1,0,5- Excellent,5,5,2.57001E+11,,44.37950134,12.03819275,-1,DILIP CHAVALI,257000815612DILIP CHAVALI,5,#N/A
31,1/6/2022 9:10,1/6/2022 9:11,,,,,1,0,4- Good,4,4,1.53087E+11,,25.26330566,55.30870056,-1,DILIP CHAVALI,153087473612DILIP CHAVALI,4,#N/A
32,2/18/2022 16:50,2/18/2022 16:51,,,,,1,0,5- Excellent,5,5,A11EKHJ9JF38TG,,52.09410095,5.05039978,-1,DILIP CHAVALI,A11EKHJ9JF38TGDILIP CHAVALI,5,#N/A
33,3/4/2022 0:54,3/4/2022 1:29,,,,,1,0,2-Average,1,2,A3H12QH1LWBW3W,,1.325393677,103.7432861,-1,DILIP CHAVALI,A3H12QH1LWBW3WDILIP CHAVALI,1.5,SG
34,3/4/2022 14:58,3/4/2022 14:59,,,,,1,0,5- Excellent,5,4,APOS95OD034HF,,20.00239563,73.79449463,-1,DILIP CHAVALI,APOS95OD034HFDILIP CHAVALI,4.5,#N/A
35,3/7/2022 13:19,3/7/2022 13:20,,,,,1,0,5- Excellent,5,5,A3U0LDUHU276Z5,,51.13989258,7.206893921,-1,DILIP CHAVALI,A3U0LDUHU276Z5DILIP CHAVALI,5,#N/A
36,3/17/2022 7:46,3/17/2022 7:47,,,,,1,0,4- Good,3,4,A3H12QH1LWBW3W,,1.321594238,103.8789063,-1,DILIP CHAVALI,A3H12QH1LWBW3WDILIP CHAVALI,3.5,SG
37,4/6/2022 9:45,4/6/2022 9:46,,,,,1,0,4- Good,4,4,A1183872A6JCJF,,48.0901,16.292,-1,DILIP CHAVALI,A1183872A6JCJFDILIP CHAVALI,4,#N/A
38,5/3/2022 20:26,5/3/2022 20:32,,,,,1,0,5- Excellent,5,5,A1QY6USG2R34HY,Dilip is very knowledgeable and guiding through the new API interface technology. He is very proactive and shares a lot of information with us. It's a pleasure to have him helping us.,52.2353,9.8505,-1,DILIP CHAVALI,A1QY6USG2R34HYDILIP CHAVALI,5,#N/A
