ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Q1,Q2_2,Q2_1,Q3,Q4,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,How would you rate the overall support you received from API Integration team on a scale 5?,How would rate the support you are receiving from the representative handling your case?-Ability to communicate clearly,How would rate the support you are receiving from the representative handling your case?-Knowledge of SP-API products &amp; Services,"Please enter ""Your Merchant Token"" from Seller Central or you can find in the email shared by our...",If you would like to share any additional comments about your most recent interaction with our re...,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'QID52'},{'ImportId': 'QID56-2'},{'ImportId': 'QID56-1'},{'ImportId': 'QID53-TEXT'},{'ImportId': 'QID54-TEXT'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_ZfV5GEFSBTSJs6R,null,46.104.23.63,9/7/2021 16:56,9/7/2021 16:57,,,,,1,0,5- Excellent,5- Excellent,5- Excellent,,"Great support,thanks\Extenship",41.02470398,28.92520142,-1
R_2rUh8HvMKtDQQRU,null,85.242.217.106,9/29/2021 13:51,9/29/2021 13:52,,,,,1,0,4- Good,4- Good,4- Good,,,37.73919678,-25.66169739,-1
R_247qUe54vsld4Xs,null,81.215.223.159,10/13/2021 10:57,10/13/2021 11:00,,,,,1,0,5- Excellent,5- Excellent,5- Excellent,,"Great problem solving skills. \We're trying to reach out sellercentral team regarding a production-level bug during 6 MONTHS.\\They're carefully read what we write, watched what we send, understand the problem and bring the solution. \\I really appreciated your assistance.\Thanks",41.00109863,28.96749878,-1
R_1ez1ZGQvHYphDQ9,null,54.239.6.188,11/30/2021 13:01,11/30/2021 13:01,,,,,1,0,5- Excellent,5- Excellent,5- Excellent,,,50.11880493,8.684295654,-1
R_1LGnbc404lzkdPR,null,78.14.29.67,11/30/2021 15:43,11/30/2021 15:44,,,,,1,0,5- Excellent,5- Excellent,5- Excellent,A27TEU3YOJIMIL,,45.47219849,9.192199707,-1
R_1hMCvqMBWCRdDPh,null,2.136.68.102,12/3/2021 14:00,12/3/2021 14:01,,,,,1,0,5- Excellent,5- Excellent,5- Excellent,A27EYG9R1XEC2J,we have a quick response,40.41630554,-3.693405151,-1
R_ApnlsEigd11kx5D,null,82.170.224.30,12/7/2021 9:43,12/7/2021 9:44,,,,,1,0,3 -Fair,5- Excellent,5- Excellent,A2Z2ULB6OD14GC,,52.14849854,4.484405518,-1
R_2tDv8Wk91He7cX8,null,82.129.111.40,12/14/2021 14:09,12/14/2021 14:10,,,,,1,0,4- Good,4- Good,4- Good,A35K9TQ5ML353X,,52.11000061,-1.04800415,-1
