ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Q1,Q2_2,Q2_1,Q3,Q4,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,How would you rate the support you received from API Integration team on a scale 5?,How would rate the support you are receiving from the representative handling your case?-Ability to communicate clearly,How would rate the support you are receiving from the representative handling your case?-Knowledge of MWS product &amp; Services,"Please enter ""Your Merchant Token"" from Seller Central or you can find in the email shared by our...",If you would like to share any additional comments about your most recent interaction with our re...,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'SC_6EvH1dVDwlA2lal-sum'},{'ImportId': 'SC_6EvH1dVDwlA2lal-weightedAvg'},{'ImportId': 'SC_6EvH1dVDwlA2lal-weightedStdDev'},{'ImportId': 'QID1'},{'ImportId': 'QID52-2'},{'ImportId': 'QID52-1'},{'ImportId': 'QID3-TEXT'},{'ImportId': 'QID4-TEXT'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_1mkJF6EGZMcZhdA,Default Response Set,46.254.130.106,2020-03-12 08:57:40,2020-03-12 08:57:56,,,,,1,0,0.0,0.0,0.0,5- Excellent,,,A2A7D7RHCPMMGQ,,43.21839904785156,27.912399291992188,-1
R_3lPIZ18hGQMe5GJ,Default Response Set,60.241.174.210,2020-03-13 07:21:09,2020-03-13 07:22:20,,,,,1,0,0.0,0.0,0.0,5- Excellent,,,ADSWXMPEOLURP,Thank you for your assistance in getting Developer approval.,-33.888397216796875,151.2117919921875,-1
R_11jB3JqDVuE7o2U,Default Response Set,109.192.165.142,2020-03-15 19:09:45,2020-03-15 19:11:36,,,,,1,0,0.0,0.0,0.0,5- Excellent,,,A3RT8JVP7CWYZS,"Very professional and open team, thank you so much for your help!",48.766204833984375,9.183303833007812,-1
R_tKRm1GaJ3yS2EuZ,Default Response Set,113.110.230.96,2020-03-23 04:30:21,2020-03-23 04:30:36,,,,,1,0,0.0,0.0,0.0,5- Excellent,,,A3SIUMQ5TKK8NS,,22.533294677734375,114.13330078125,-1
R_2qldTSFjQc8EbVT,Default Response Set,212.154.109.145,2020-03-23 07:30:39,2020-03-23 07:31:22,,,,,1,0,0.0,0.0,0.0,5- Excellent,,,A10M3BFOLQA2T6,,41.350006103515625,36.16670227050781,-1
R_3DbXK23637EjeS2,Default Response Set,212.154.109.145,2020-03-23 09:02:23,2020-03-23 09:02:31,,,,,1,0,0.0,0.0,0.0,5- Excellent,,,A10M3BFOLQA2T6,,41.36579895019531,36.21549987792969,-1
R_2ceKQZJARgM7j5g,Default Response Set,213.60.131.144,2020-03-24 12:01:52,2020-03-24 12:04:28,,,,,1,0,0.0,0.0,0.0,5- Excellent,,,A1L0B5GA0DTBOJ,Renuka always answered any questions in a short time. She has been very kind and attentive,42.233795166015625,-8.725204467773438,-1
R_10VgrE5qAF0utgB,Default Response Set,79.204.94.54,2020-03-24 19:30:01,2020-03-24 19:32:14,,,,,1,0,0.0,0.0,0.0,4- Good,,,A2VZ6VCI4ZG425,Sometimes the documents/manuals were not up to date... so it is hard for agencies to figure out the actual processes,49.9822998046875,8.260894775390625,-1
